"brand_name","model_name","bkl_type"
"ACER","UM.EV7EE.001","LED"
"ACER","XB273GPbmiiprzx","LED"
"ACER","Predator XB273GP","LED"
"ACER","UM.HX3EE.P20","LED"
"ACER","EG240YPbipx","LED"
"ACER","UM.QB7EE.D04","LED"
"ACER","UM.QB7EE.D01","LED"
"ACER","XF240QSbiipr","LED"
"ACER","XF240QS","LED"
"ACER","UM.UX0EE.S01","LED"
"ACER","XF270HPbmiiprzx","LED"
"ACER","XF270HP","LED"
"ACER","UM.HX0EE.P07","LED"
"ACER","XV270Ubmiiprx","LED"
"ACER","Nitro XV270U","LED"
"ACER","UM.HX0EE.018","LED"
"ACER","CM2241W","LED"
"ACER","ConceptD CM2","LED"
"ACER","UM.FC1EE.001","LED"
"ACER","X38P","LED"
"ACER","Predator X38P","LED"
"ACER","UM.TX0EE.P01","LED"
"ACER","HA240YA","LED"
"ACER","HA240YAwi","LED"
"ACER","UM.WV6EE.A18","LED"
"ACER","V226HQLAbid","LED"
"ACER","UM.WV7EE.004","LED"
"ACER","AL1906As","CCFL"
"ACER","B247YDbmiprczx","LED"
"ACER","V227Q","LED"
"ACER","V227Qbip","LED"
"ACER","B246HLymidr","LED"
"ACER","B246HL","LED"
"ACER","UM.FB6EE.069","LED"
"ACER","Predator X25","LED"
"ACER","X25bmiiprzx","LED"
"ACER","UM.KX0EE.006","LED"
"ACER","QG241YPbmiipx","LED"
